,eventNum,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,condition,subID,run,trial,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd,Frequency
1049,36,2,2,4,5,5,7,7,7,Dispositional,27,2,9,279.962708,1.5,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/right2.jpg,task/Jitter/left3.jpg,[1 2 1],1,286.895632,288.361933,1.466301,292.911844,300.928013,1,301.444674,4,1454301.752,3,310.510729,4,1454301.188,2,305.97771,4,1454301.538,314.527116,3
1050,66,4,4,1,5,3,7,7,7,Situational,27,2,10,314.543801,1.5,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left2.jpg,task/Jitter/left1.jpg,[1 1 1],1,321.460018,323.443878,1.983859,327.476274,335.492381,3,345.075109,1,1454301.876,2,340.542087,1,1454301.971,1,336.009043,2,1454302.608,349.091501,4
1051,30,2,2,4,1,5,7,7,7,Dispositional,27,2,11,349.108175,1.5,3,1.5,task/Jitter/right3.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,355.241102,356.813878,1.572777,361.257367,369.273523,2,374.323175,4,1454301.855,1,369.790155,4,1454301.695,3,378.856219,3,1454302.01,382.872594,2
1052,2,7,3,4,4,2,7,6,6.5,Dispositional,27,2,12,382.889275,1.5,3,1.5,task/Jitter/left1.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,389.0222,390.703782,1.681582,395.038462,403.054584,1,403.571235,4,1454301.734,3,412.637299,4,1454301.332,2,408.104271,4,1454301.564,416.653693,2
1053,69,2,2,3,4,1,7,5,6,Situational,27,2,13,416.670379,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/right2.jpg,task/Jitter/left3.jpg,[1 2 1],1,423.60324,424.946764,1.343524,429.619494,437.635614,2,442.685319,2,1454301.987,1,438.152275,2,1454302.171,3,447.218342,3,1454301.977,451.234722,3
1054,68,5,5,1,5,1,5,4,4.5,Situational,27,2,14,451.251424,0.75,3,1.5,task/Jitter/left1.jpg,task/Jitter/right3.jpg,NaN,[1 2],1,456.63439,458.393686,1.759296,462.65068,470.666784,2,475.716457,1,1454301.876,3,480.249491,1,1454301.378,1,471.183423,1,1454301.957,484.265876,3
1055,46,2,4,4,1,1,5,7,6,Dispositional,27,2,15,484.282562,1.5,3,1.5,task/Jitter/right3.jpg,task/Jitter/left3.jpg,NaN,[2 1],1,490.415484,491.663686,1.248202,496.431759,504.447874,1,504.964514,4,1454302.044,3,514.030585,4,1454301.2,2,509.497556,3,1454301.994,518.04696,2
1056,59,4,4,4,5,5,6,7,6.5,Situational,27,2,16,518.063657,1.5,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left3.jpg,task/Jitter/right3.jpg,[1 1 2],1,525.746469,526.908646,1.162177,531.762744,539.778845,2,544.828541,1,1454301.782,1,540.295514,2,1454302.112,3,549.361581,3,1454301.32,553.37797,1
1057,41,3,2,4,4,1,6,6,6,Dispositional,27,3,1,8.036198,0.75,3,0.75,task/Jitter/left2.jpg,task/Jitter/left1.jpg,NaN,[1 1],1,12.669222,13.884308,1.215086,18.685495,26.701599,1,27.218252,4,1454905.686,2,31.751291,3,1454906.053,3,36.284314,4,1454905.993,40.300711,5
1058,71,3,2,4,3,2,6,7,6.5,Situational,27,3,2,40.317331,0.75,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/left1.jpg,task/Jitter/left3.jpg,[1 1 1],1,47.250263,48.36127,1.111007,53.266536,61.282657,3,70.86536,1,1454905.697,1,61.799301,1,1454905.906,2,66.332337,1,1454906.674,74.881746,2
